iter	Passed	Remaining
0	4	4557
1	8	4154
2	11	3939
3	16	4008
4	20	3982
5	23	3958
6	27	3968
7	32	4059
8	37	4107
9	41	4124
10	46	4173
11	50	4178
12	55	4191
13	60	4237
14	64	4218
15	68	4185
16	71	4160
17	76	4181
18	80	4177
19	85	4187
20	89	4192
21	94	4209
22	98	4204
23	103	4222
24	109	4286
25	114	4290
26	120	4345
27	124	4334
28	129	4324
29	133	4314
30	138	4329
31	143	4332
32	147	4330
33	151	4307
34	155	4284
35	159	4277
36	164	4270
37	168	4255
38	172	4242
39	176	4244
40	180	4228
41	184	4212
42	188	4205
43	193	4208
44	198	4211
45	202	4198
46	206	4193
47	211	4190
48	215	4179
49	219	4163
50	224	4174
51	229	4184
52	233	4167
53	238	4172
54	243	4178
55	247	4177
56	251	4162
57	258	4194
58	263	4196
59	267	4190
60	272	4201
61	277	4195
62	281	4189
63	286	4193
64	291	4186
65	294	4171
66	298	4158
67	303	4163
68	307	4152
69	311	4137
70	315	4132
71	320	4126
72	323	4112
73	327	4101
74	331	4092
75	336	4086
76	340	4076
77	344	4066
78	348	4063
79	352	4057
80	356	4048
81	360	4037
82	364	4025
83	368	4018
84	372	4007
85	376	3998
86	379	3986
87	384	3981
88	388	3973
89	392	3970
90	397	3967
91	405	3998
92	409	3993
93	413	3985
94	417	3974
95	421	3966
96	425	3957
97	429	3951
98	433	3947
99	437	3938
100	441	3928
101	445	3922
102	449	3914
103	453	3905
104	457	3896
105	462	3897
106	466	3890
107	471	3891
108	475	3888
109	480	3891
110	485	3889
111	490	3887
112	494	3884
113	498	3877
114	502	3868
115	506	3862
116	512	3865
117	516	3857
118	519	3849
119	524	3843
120	528	3839
121	532	3830
122	536	3822
123	540	3816
124	544	3812
125	548	3806
126	552	3798
127	556	3793
128	560	3786
129	564	3778
130	568	3770
131	573	3771
132	577	3765
133	581	3758
134	585	3754
135	589	3747
136	593	3740
137	597	3734
138	602	3730
139	607	3729
140	611	3724
141	615	3718
142	619	3710
143	623	3708
144	627	3701
145	632	3699
146	636	3696
147	641	3692
148	645	3688
149	649	3682
150	654	3677
151	657	3670
152	662	3666
153	666	3658
154	670	3655
155	674	3648
156	678	3645
157	682	3639
158	687	3637
159	691	3631
160	695	3626
161	699	3618
162	704	3617
163	708	3610
164	712	3605
165	716	3599
166	721	3599
167	725	3591
168	729	3585
169	733	3580
170	737	3575
171	741	3570
172	745	3563
173	750	3560
174	754	3556
175	758	3551
176	762	3547
177	767	3545
178	771	3539
179	775	3533
180	779	3527
181	785	3529
182	789	3523
183	793	3519
184	798	3519
185	802	3512
186	806	3505
187	810	3499
188	816	3502
189	820	3496
190	824	3490
191	828	3486
192	832	3482
193	836	3475
194	840	3470
195	845	3468
196	850	3464
197	855	3465
198	861	3465
199	865	3461
200	869	3456
201	874	3453
202	879	3453
203	883	3447
204	887	3442
205	892	3438
206	896	3433
207	900	3430
208	905	3426
209	910	3426
210	915	3423
211	920	3421
212	926	3424
213	931	3420
214	936	3417
215	940	3414
216	946	3414
217	951	3413
218	956	3411
219	962	3413
220	968	3415
221	975	3418
222	979	3414
223	984	3410
224	989	3408
225	995	3407
226	999	3403
227	1004	3400
228	1009	3399
229	1014	3395
230	1018	3391
231	1023	3388
232	1028	3384
233	1032	3380
234	1037	3378
235	1042	3375
236	1046	3369
237	1051	3367
238	1057	3366
239	1061	3362
240	1066	3358
241	1071	3355
242	1075	3349
243	1079	3345
244	1084	3341
245	1088	3337
246	1094	3335
247	1099	3333
248	1104	3332
249	1110	3331
250	1115	3328
251	1120	3326
252	1125	3322
253	1129	3318
254	1134	3315
255	1139	3310
256	1143	3305
257	1147	3301
258	1153	3299
259	1158	3295
260	1162	3291
261	1167	3289
262	1171	3283
263	1175	3278
264	1180	3274
265	1185	3271
266	1190	3267
267	1194	3261
268	1199	3258
269	1203	3253
270	1207	3248
271	1212	3246
272	1219	3247
273	1225	3246
274	1231	3247
275	1236	3244
276	1241	3241
277	1246	3237
278	1250	3231
279	1254	3225
280	1258	3220
281	1263	3218
282	1268	3213
283	1272	3208
284	1277	3204
285	1282	3200
286	1286	3195
287	1290	3190
288	1295	3186
289	1299	3180
290	1303	3176
291	1308	3172
292	1313	3169
293	1318	3165
294	1322	3160
295	1327	3156
296	1334	3157
297	1338	3154
298	1344	3151
299	1348	3146
300	1352	3140
301	1357	3138
302	1364	3138
303	1369	3135
304	1374	3132
305	1379	3129
306	1383	3123
307	1387	3117
308	1392	3114
309	1396	3108
310	1400	3103
311	1405	3099
312	1411	3097
313	1415	3091
314	1419	3086
315	1424	3083
316	1429	3079
317	1433	3074
318	1438	3071
319	1443	3066
320	1447	3062
321	1452	3058
322	1457	3054
323	1461	3049
324	1465	3044
325	1470	3039
326	1473	3033
327	1477	3028
328	1483	3024
329	1487	3020
330	1491	3014
331	1495	3009
332	1500	3005
333	1504	3000
334	1508	2994
335	1513	2990
336	1517	2985
337	1522	2980
338	1526	2976
339	1530	2971
340	1534	2965
341	1538	2959
342	1542	2954
343	1546	2948
344	1550	2943
345	1554	2938
346	1558	2933
347	1562	2927
348	1566	2922
349	1570	2916
350	1575	2912
351	1579	2907
352	1583	2902
353	1587	2897
354	1591	2891
355	1595	2886
356	1600	2882
357	1604	2876
358	1608	2871
359	1612	2866
360	1616	2861
361	1620	2856
362	1624	2850
363	1628	2846
364	1633	2842
365	1637	2836
366	1641	2831
367	1645	2826
368	1650	2821
369	1654	2816
370	1657	2810
371	1662	2807
372	1668	2804
373	1672	2799
374	1676	2793
375	1680	2788
376	1684	2783
377	1688	2777
378	1692	2773
379	1697	2769
380	1701	2764
381	1705	2758
382	1709	2753
383	1713	2747
384	1716	2742
385	1720	2737
386	1724	2732
387	1729	2727
388	1733	2722
389	1736	2716
390	1741	2711
391	1745	2706
392	1749	2701
393	1753	2697
394	1757	2692
395	1761	2687
396	1765	2681
397	1769	2676
398	1774	2672
399	1778	2667
400	1782	2663
401	1787	2658
402	1791	2654
403	1795	2649
404	1799	2643
405	1803	2638
406	1808	2635
407	1813	2630
408	1817	2625
409	1821	2620
410	1825	2616
411	1829	2611
412	1833	2606
